Month,Region,Provider_Group,Service_Category,Members,ER_Visits_per_1000,Admissions_per_1000,Avg_Cost_per_Admission,Specialty_Rx_Spend_PMPM,Generic_Dispensing_Rate,Mail_Order_Rate,Imaging_Util_per_1000,SNF_Days_per_1000,Outpatient_Site_of_Care_Index,Leakage_Rate,PMPM,Expected_Driver,Scenario_Type
2024-02-01,West,Beacon Medical Group,Pharmacy,9782,138.9,45.5,18318.7,108.03,0.789,0.226,90.0,22.0,0.989,0.072,208.72,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,West,Beacon Medical Group,Post-Acute,9782,138.8,43.4,17776.08,85.49,0.842,0.191,90.7,26.6,0.998,0.066,142.59,post_acute_spike,post_acute_spike
2024-02-01,West,Beacon Medical Group,Outpatient,9782,141.0,42.0,17953.37,81.98,0.829,0.191,93.0,22.9,1.18,0.07,227.22,site_of_care_shift,site_of_care_shift
2024-02-01,West,Crest Health Partners,Medical,10042,149.4,45.5,21443.99,85.75,0.837,0.186,91.0,22.8,0.998,0.068,607.73,unit_cost_inflation,unit_cost_inflation
2024-02-01,West,Crest Health Partners,Pharmacy,10042,146.0,44.2,18193.44,104.95,0.789,0.222,88.6,22.1,1.014,0.065,196.08,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,West,Crest Health Partners,Post-Acute,10042,140.6,45.0,18109.28,82.71,0.844,0.18,93.2,24.2,0.989,0.118,144.36,leakage_network,leakage_network
2024-02-01,West,Crest Health Partners,Outpatient,10042,144.4,44.6,18528.25,87.59,0.836,0.199,92.1,24.4,0.999,0.111,227.49,leakage_network,leakage_network
2024-02-01,West,Delta Care Network,Medical,10827,187.8,52.3,18187.82,87.42,0.836,0.189,96.7,23.4,1.003,0.07,602.9,utilization_increase,utilization_increase
2024-02-01,West,Delta Care Network,Pharmacy,10827,153.7,44.2,18599.97,105.66,0.781,0.221,94.3,22.7,1.008,0.065,204.98,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,West,Delta Care Network,Post-Acute,10827,149.7,46.4,18483.66,82.48,0.842,0.191,88.3,26.2,1.0,0.069,141.9,post_acute_spike,post_acute_spike
2024-02-01,West,Delta Care Network,Outpatient,10827,151.9,46.8,18684.29,82.22,0.832,0.187,94.9,24.6,1.18,0.06,224.69,site_of_care_shift,site_of_care_shift
2024-02-01,South,Alpha IPA,Medical,9922,163.9,47.9,17961.57,81.22,0.843,0.188,89.4,22.7,0.985,0.077,582.16,utilization_increase,utilization_increase
2024-02-01,South,Alpha IPA,Pharmacy,9922,145.4,45.9,17763.34,111.55,0.787,0.216,92.2,21.1,0.992,0.077,214.13,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,South,Alpha IPA,Post-Acute,9922,143.5,45.2,18297.25,85.59,0.841,0.196,86.4,26.7,0.991,0.075,141.94,post_acute_spike,post_acute_spike
2024-02-01,South,Alpha IPA,Outpatient,9922,145.3,46.3,17899.08,83.03,0.837,0.191,92.0,22.6,1.18,0.082,232.04,site_of_care_shift,site_of_care_shift
2024-02-01,South,Beacon Medical Group,Medical,10458,152.4,44.1,21139.42,86.35,0.842,0.192,96.7,23.5,1.012,0.076,595.11,unit_cost_inflation,unit_cost_inflation
2024-02-01,South,Beacon Medical Group,Pharmacy,10458,151.3,42.0,18364.87,95.85,0.779,0.223,95.4,21.8,0.993,0.08,196.32,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,South,Beacon Medical Group,Post-Acute,10458,159.0,45.5,18372.41,88.04,0.839,0.187,93.7,23.0,0.986,0.124,141.6,leakage_network,leakage_network
2024-02-01,South,Beacon Medical Group,Outpatient,10458,153.7,45.5,18165.16,83.73,0.839,0.193,91.0,22.0,1.011,0.113,218.88,leakage_network,leakage_network
2024-02-01,South,Crest Health Partners,Medical,10786,177.7,49.7,18618.84,87.84,0.84,0.194,91.8,24.1,0.997,0.073,600.96,utilization_increase,utilization_increase
2024-02-01,South,Crest Health Partners,Pharmacy,10786,159.9,49.2,18944.44,109.73,0.79,0.224,96.4,23.9,1.008,0.075,206.51,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,South,Crest Health Partners,Post-Acute,10786,152.3,47.8,18550.9,86.85,0.841,0.19,98.3,29.5,0.988,0.081,148.71,post_acute_spike,post_acute_spike
2024-02-01,South,Crest Health Partners,Outpatient,10786,147.4,45.7,18243.69,86.13,0.837,0.19,97.9,24.1,1.18,0.077,238.87,site_of_care_shift,site_of_care_shift
2024-02-01,South,Delta Care Network,Medical,11586,149.6,48.1,21107.29,88.09,0.838,0.195,101.6,24.8,0.995,0.077,610.62,unit_cost_inflation,unit_cost_inflation
2024-02-01,South,Delta Care Network,Pharmacy,11586,158.0,49.7,18682.67,115.22,0.791,0.217,100.9,25.3,1.001,0.072,210.51,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,South,Delta Care Network,Post-Acute,11586,155.8,49.2,18563.31,89.09,0.832,0.19,98.3,27.0,0.986,0.131,155.77,leakage_network,leakage_network
2024-02-01,South,Delta Care Network,Outpatient,11586,159.6,48.6,18983.42,87.62,0.845,0.189,101.4,24.0,0.999,0.111,236.92,leakage_network,leakage_network
2024-02-01,Central,Alpha IPA,Medical,10417,151.7,45.8,20956.11,84.43,0.83,0.187,96.7,24.7,1.028,0.078,612.4,unit_cost_inflation,unit_cost_inflation
2024-02-01,Central,Alpha IPA,Pharmacy,10417,153.0,45.8,18529.78,109.0,0.789,0.219,91.8,21.9,1.007,0.079,206.56,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,Central,Alpha IPA,Post-Acute,10417,152.0,47.0,18454.11,83.36,0.844,0.197,97.5,24.4,1.012,0.135,150.49,leakage_network,leakage_network
2024-02-01,Central,Alpha IPA,Outpatient,10417,154.4,46.6,18070.8,86.75,0.831,0.188,99.9,24.2,1.015,0.119,229.01,leakage_network,leakage_network
2024-02-01,Central,Beacon Medical Group,Medical,11370,176.7,52.4,18723.7,89.83,0.836,0.192,95.0,24.7,1.0,0.077,605.5,utilization_increase,utilization_increase
2024-02-01,Central,Beacon Medical Group,Pharmacy,11370,155.3,47.2,19231.4,111.04,0.787,0.213,95.3,23.9,0.993,0.086,210.38,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,Central,Beacon Medical Group,Post-Acute,11370,161.2,47.6,18711.17,86.78,0.838,0.198,91.0,27.1,0.995,0.08,147.34,post_acute_spike,post_acute_spike
2024-02-01,Central,Beacon Medical Group,Outpatient,11370,157.9,47.0,19005.71,89.58,0.839,0.195,98.8,23.6,1.18,0.08,237.34,site_of_care_shift,site_of_care_shift
2024-02-01,Central,Crest Health Partners,Medical,12027,150.2,47.3,21626.9,88.09,0.837,0.185,97.0,24.1,1.025,0.087,613.11,unit_cost_inflation,unit_cost_inflation
2024-02-01,Central,Crest Health Partners,Pharmacy,12027,158.5,47.6,18427.56,113.55,0.783,0.221,95.2,24.2,1.001,0.081,215.39,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,Central,Crest Health Partners,Post-Acute,12027,154.7,50.0,18759.94,90.58,0.838,0.185,99.1,25.4,1.006,0.129,155.8,leakage_network,leakage_network
2024-02-01,Central,Crest Health Partners,Outpatient,12027,164.0,48.7,19225.04,93.83,0.848,0.186,97.2,26.5,0.989,0.115,229.03,leakage_network,leakage_network
2024-02-01,Central,Delta Care Network,Medical,12638,188.9,55.4,19104.83,89.31,0.834,0.187,108.8,26.1,1.009,0.078,622.24,utilization_increase,utilization_increase
2024-02-01,Central,Delta Care Network,Pharmacy,12638,161.1,47.3,18886.6,110.69,0.777,0.216,106.0,25.8,1.013,0.082,214.95,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,Central,Delta Care Network,Post-Acute,12638,160.4,51.1,19518.61,89.56,0.841,0.193,100.4,30.1,0.988,0.08,152.8,post_acute_spike,post_acute_spike
2024-02-01,Central,Delta Care Network,Outpatient,12638,160.8,50.5,19471.16,92.55,0.846,0.196,99.0,27.5,1.18,0.084,238.04,site_of_care_shift,site_of_care_shift
2024-02-01,East,Alpha IPA,Medical,11339,171.9,52.6,18382.19,90.42,0.846,0.188,100.9,23.9,0.994,0.088,603.75,utilization_increase,utilization_increase
2024-02-01,East,Alpha IPA,Pharmacy,11339,165.0,47.4,19149.8,112.95,0.792,0.219,99.9,24.5,0.992,0.088,215.49,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,East,Alpha IPA,Post-Acute,11339,160.4,49.8,19284.8,87.06,0.84,0.189,100.1,29.3,1.016,0.086,149.56,post_acute_spike,post_acute_spike
2024-02-01,East,Alpha IPA,Outpatient,11339,162.8,45.4,18245.77,89.99,0.838,0.192,96.0,24.6,1.18,0.088,235.79,site_of_care_shift,site_of_care_shift
2024-02-01,East,Beacon Medical Group,Medical,12214,160.2,49.0,21473.04,90.64,0.842,0.185,100.0,24.2,0.99,0.085,608.04,unit_cost_inflation,unit_cost_inflation
2024-02-01,East,Beacon Medical Group,Pharmacy,12214,164.5,50.4,19074.67,107.26,0.783,0.226,93.7,25.1,0.988,0.088,205.0,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,East,Beacon Medical Group,Post-Acute,12214,163.6,50.2,19700.87,89.49,0.84,0.185,105.6,24.6,0.994,0.135,144.03,leakage_network,leakage_network
2024-02-01,East,Beacon Medical Group,Outpatient,12214,162.9,50.7,19237.88,86.03,0.837,0.194,96.4,24.3,1.009,0.126,232.75,leakage_network,leakage_network
2024-02-01,East,Crest Health Partners,Medical,12557,191.4,57.0,20263.22,91.47,0.834,0.193,105.3,25.7,0.99,0.094,645.76,utilization_increase,utilization_increase
2024-02-01,East,Crest Health Partners,Pharmacy,12557,163.1,52.1,19417.26,116.95,0.791,0.216,105.1,28.1,1.005,0.083,213.64,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,East,Crest Health Partners,Post-Acute,12557,164.4,50.7,19336.66,94.29,0.829,0.194,102.9,32.4,0.989,0.09,161.66,post_acute_spike,post_acute_spike
2024-02-01,East,Crest Health Partners,Outpatient,12557,169.8,49.2,19698.74,93.01,0.83,0.191,105.1,26.8,1.18,0.086,250.38,site_of_care_shift,site_of_care_shift
2024-02-01,East,Delta Care Network,Medical,13438,174.9,49.1,22799.53,93.59,0.829,0.191,109.7,25.9,1.003,0.081,630.85,unit_cost_inflation,unit_cost_inflation
2024-02-01,East,Delta Care Network,Pharmacy,13438,175.9,51.8,19888.66,114.33,0.797,0.223,105.5,27.6,0.986,0.09,211.91,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,East,Delta Care Network,Post-Acute,13438,169.2,51.9,19575.8,95.74,0.839,0.194,106.0,27.5,0.996,0.144,152.2,leakage_network,leakage_network
2024-02-01,East,Delta Care Network,Outpatient,13438,175.0,54.1,19494.35,99.57,0.843,0.195,106.1,26.8,0.998,0.127,246.5,leakage_network,leakage_network
2024-03-01,West,Alpha IPA,Medical,8842,155.4,47.3,17776.35,81.64,0.84,0.191,85.2,20.1,0.984,0.071,582.68,utilization_increase,utilization_increase
2024-03-01,West,Alpha IPA,Pharmacy,8842,138.2,38.5,17125.8,105.99,0.783,0.223,83.8,22.4,0.999,0.071,219.28,pharmacy_mix_shift,pharmacy_mix_shift
2024-03-01,West,Alpha IPA,Post-Acute,8842,146.1,41.6,17322.03,79.19,0.839,0.192,86.8,27.4,0.999,0.079,147.13,post_acute_spike,post_acute_spike
2024-03-01,West,Alpha IPA,Outpatient,8842,147.1,42.4,17788.89,78.19,0.832,0.194,91.0,21.0,1.18,0.065,224.26,site_of_care_shift,site_of_care_shift
2024-03-01,West,Beacon Medical Group,Medical,9677,136.9,43.6,21039.52,81.97,0.825,0.191,89.5,23.9,0.985,0.068,611.7,unit_cost_inflation,unit_cost_inflation
2024-03-01,West,Beacon Medical Group,Pharmacy,9677,145.8,44.2,17834.38,106.02,0.79,0.219,92.6,20.4,1.003,0.071,205.4,pharmacy_mix_shift,pharmacy_mix_shift
2024-03-01,West,Beacon Medical Group,Post-Acute,9677,143.9,42.8,17478.49,81.12,0.83,0.193,86.5,22.5,0.988,0.118,141.51,leakage_network,leakage_network
2024-03-01,West,Beacon Medical Group,Outpatient,9677,149.3,43.9,17736.48,83.25,0.825,0.192,96.0,21.9,1.001,0.112,235.55,leakage_network,leakage_network
2024-03-01,West,Crest Health Partners,Medical,10381,161.0,49.8,17885.54,87.28,0.834,0.184,88.2,19.9,0.998,0.069,590.92,utilization_increase,utilization_increase
2024-03-01,West,Crest Health Partners,Pharmacy,10381,152.3,46.4,18048.88,100.69,0.789,0.224,92.9,23.6,0.988,0.078,199.32,pharmacy_mix_shift,pharmacy_mix_shift
2024-03-01,West,Crest Health Partners,Post-Acute,10381,151.0,43.0,17820.92,87.79,0.835,0.195,92.7,27.4,1.014,0.069,140.24,post_acute_spike,post_acute_spike
2024-03-01,West,Crest Health Partners,Outpatient,10381,144.8,45.7,18218.65,80.08,0.832,0.19,90.9,21.2,1.18,0.067,234.02,site_of_care_shift,site_of_care_shift
2024-03-01,West,Delta Care Network,Medical,10735,155.2,46.3,21207.57,86.35,0.832,0.187,91.2,22.8,0.988,0.071,618.32,unit_cost_inflation,unit_cost_inflation
2024-03-01,West,Delta Care Network,Pharmacy,10735,145.7,46.5,18334.02,111.17,0.786,0.216,90.2,23.4,1.01,0.061,214.43,pharmacy_mix_shift,pharmacy_mix_shift
2024-03-01,West,Delta Care Network,Post-Acute,10735,156.8,46.3,18565.06,84.24,0.835,0.186,87.0,24.3,0.99,0.118,143.86,leakage_network,leakage_network
2024-03-01,West,Delta Care Network,Outpatient,10735,146.4,46.3,18181.13,86.94,0.838,0.193,94.7,25.0,0.989,0.11,235.19,leakage_network,leakage_network
2024-03-01,South,Alpha IPA,Medical,9757,140.3,43.6,21294.63,84.27,0.837,0.191,90.8,22.5,0.997,0.075,603.1,unit_cost_inflation,unit_cost_inflation
2024-03-01,South,Alpha IPA,Pharmacy,9757,143.3,44.6,18824.27,100.55,0.788,0.219,93.7,22.2,1.008,0.08,204.58,pharmacy_mix_shift,pharmacy_mix_shift
2024-03-01,South,Alpha IPA,Post-Acute,9757,150.5,41.2,18427.14,83.94,0.841,0.187,89.5,22.3,1.0,0.126,147.26,leakage_network,leakage_network
2024-03-01,South,Alpha IPA,Outpatient,9757,138.9,45.2,17952.48,82.49,0.829,0.194,84.8,22.8,0.985,0.115,220.43,leakage_network,leakage_network
2024-03-01,South,Beacon Medical Group,Medical,10384,176.3,49.8,18041.76,83.73,0.842,0.194,92.8,22.8,0.984,0.077,583.97,utilization_increase,utilization_increase
2024-03-01,South,Beacon Medical Group,Pharmacy,10384,153.0,45.7,18966.09,105.28,0.785,0.229,97.6,22.3,1.002,0.075,209.13,pharmacy_mix_shift,pharmacy_mix_shift
2024-03-01,South,Beacon Medical Group,Post-Acute,10384,147.2,45.4,17770.58,85.34,0.838,0.191,89.2,29.3,1.004,0.072,149.5,post_acute_spike,post_acute_spike
2024-03-01,South,Beacon Medical Group,Outpatient,10384,144.0,44.3,18088.66,88.07,0.833,0.195,92.4,23.2,1.18,0.078,230.43,site_of_care_shift,site_of_care_shift
